S118 BrC1=C2C=CC=C3C=CC=C(C=C1)N23
S119 CNC1=CC2=CC=CC3=CC=CC(=C1)N23
S120 CNC1=CC=C2C=CC=C3C=CC=C1N23
S121 C=CC1=CC2=CC=CC3=CC=CC(=C1)N23
S122 C=CC1=CC=C2C=CC=C3C=CC=C1N23
S123 O=CC1=CC2=CC=CC3=CC=CC(=C1)N23
S124 O=CC1=CC=C2C=CC=C3C=CC=C1N23
S125 C#CC1=CC2=CC=CC3=CC=CC(=C1)N23
S126 C1=C(C2=CC=CC3=CC=CC(=C1)N23)C#C
S127 [C-]#[N+]C1=CC2=CC=CC3=CC=CC(=C1)N23
S128 [C-]#[N+]C1=CC=C2C=CC=C3C=CC=C1N23
S129 N#CC1=CC2=CC=CC3=CC=CC(=C1)N23
S130 N#CC1=CC=C2C=CC=C3C=CC=C1N23
S131 CN(C)C1=CC2=CC=CC3=CC=CC(=C1)N23
S132 CN(C)C1=CC=C2C=CC=C3C=CC=C1N23
S133 CC(=O)C1=CC2=CC=CC3=CC=CC(=C1)N23
S134 CC(=O)C1=CC=C2C=CC=C3C=CC=C1N23
S135 CS(=O)C1=CC2=CC=CC3=CC=CC(=C1)N23
S136 CS(=O)C1=CC=C2C=CC=C3C=CC=C1N23
S137 [O-][N+](=O)C1=CC2=CC=CC3=CC=CC(=C1)N23
S138 [O-][N+](=O)C1=CC=C2C=CC=C3C=CC=C1N23
S139 FC(F)(F)C1=CC2=CC=CC3=CC=CC(=C1)N23
S140 C1=C(C2=CC=CC3=CC=CC(=C1)N23)C(F)(F)F
S141 CC1=NC2=NC=NC3=NC=NC(=N1)N23
S142 NC1=NC2=NC=NC3=NC=NC(=N1)N23
S143 OC1=NC2=NC=NC3=NC=NC(=N1)N23
S144 FC1=NC2=NC=NC3=NC=NC(=N1)N23
S145 SC1=NC2=NC=NC3=NC=NC(=N1)N23
S146 ClC1=NC2=NC=NC3=NC=NC(=N1)N23
S147 BrC1=NC2=NC=NC3=NC=NC(=N1)N23
S148 CNC1=NC2=NC=NC3=NC=NC(=N1)N23
S149 C=CC1=NC2=NC=NC3=NC=NC(=N1)N23
S150 O=CC1=NC2=NC=NC3=NC=NC(=N1)N23
S151 C#CC1=NC2=NC=NC3=NC=NC(=N1)N23
S152 [C-]#[N+]C1=NC2=NC=NC3=NC=NC(=N1)N23
S153 N#CC1=NC2=NC=NC3=NC=NC(=N1)N23
S154 CN(C)C1=NC2=NC=NC3=NC=NC(=N1)N23
S155 CC(=O)C1=NC2=NC=NC3=NC=NC(=N1)N23
S156 CS(=O)C1=NC2=NC=NC3=NC=NC(=N1)N23
S157 [O-][N+](=O)C1=NC2=NC=NC3=NC=NC(=N1)N23
S158 FC(F)(F)C1=NC2=NC=NC3=NC=NC(=N1)N23
S159 CC1=CC2=CC=NC3=NC=CC(=C1)N23
S160 CC1=CC2=CC=CC3=CC=NC(=N1)N23
S161 CC1=CC=C2C=CN=C3N=CC=C1N23
S162 CC1=CN=C2N=CC=C3C=CC=C1N23
S163 NC1=CC2=CC=NC3=NC=CC(=C1)N23
S164 NC1=CC2=CC=CC3=CC=NC(=N1)N23
S165 NC1=CC=C2C=CN=C3N=CC=C1N23
S166 NC1=CN=C2N=CC=C3C=CC=C1N23
S167 OC1=CC2=CC=NC3=NC=CC(=C1)N23
S168 OC1=CC2=CC=CC3=CC=NC(=N1)N23
S169 OC1=CC=C2C=CN=C3N=CC=C1N23
S170 OC1=CN=C2N=CC=C3C=CC=C1N23
S171 FC1=CC2=CC=NC3=NC=CC(=C1)N23
S172 FC1=CC2=CC=CC3=CC=NC(=N1)N23
S173 FC1=CC=C2C=CN=C3N=CC=C1N23
S174 FC1=CN=C2N=CC=C3C=CC=C1N23
S175 SC1=CC2=CC=NC3=NC=CC(=C1)N23
S176 SC1=CC2=CC=CC3=CC=NC(=N1)N23
S177 SC1=CC=C2C=CN=C3N=CC=C1N23
S178 SC1=CN=C2N=CC=C3C=CC=C1N23
S179 ClC1=CC2=CC=NC3=NC=CC(=C1)N23
S180 ClC1=CC2=CC=CC3=CC=NC(=N1)N23
S181 ClC1=CC=C2C=CN=C3N=CC=C1N23
S182 ClC1=CN=C2N=CC=C3C=CC=C1N23
S183 BrC1=CC2=CC=NC3=NC=CC(=C1)N23
S184 BrC1=CC2=CC=CC3=CC=NC(=N1)N23
S185 BrC1=CC=C2C=CN=C3N=CC=C1N23
S186 BrC1=CN=C2N=CC=C3C=CC=C1N23
S187 CNC1=CC2=CC=NC3=NC=CC(=C1)N23
S188 CNC1=CC2=CC=CC3=CC=NC(=N1)N23
S189 CNC1=CC=C2C=CN=C3N=CC=C1N23
S190 CNC1=CN=C2N=CC=C3C=CC=C1N23
S191 C=CC1=CC2=CC=NC3=NC=CC(=C1)N23
S192 C=CC1=CC2=CC=CC3=CC=NC(=N1)N23
S193 C=CC1=CC=C2C=CN=C3N=CC=C1N23
S194 C=CC1=CN=C2N=CC=C3C=CC=C1N23
S195 O=CC1=CC2=CC=NC3=NC=CC(=C1)N23
S196 O=CC1=CC2=CC=CC3=CC=NC(=N1)N23
S197 O=CC1=CC=C2C=CN=C3N=CC=C1N23
S198 O=CC1=CN=C2N=CC=C3C=CC=C1N23
S199 C#CC1=CC2=CC=NC3=NC=CC(=C1)N23
S200 C#CC1=CC2=CC=CC3=CC=NC(=N1)N23
S201 C#CC1=CC=C2C=CN=C3N=CC=C1N23
S202 C#CC1=CN=C2N=CC=C3C=CC=C1N23
S203 [C-]#[N+]C1=CC2=CC=NC3=NC=CC(=C1)N23
S204 [C-]#[N+]C1=CC2=CC=CC3=CC=NC(=N1)N23
S205 [C-]#[N+]C1=CC=C2C=CN=C3N=CC=C1N23
S206 [C-]#[N+]C1=CN=C2N=CC=C3C=CC=C1N23
S207 N#CC1=CC2=CC=NC3=NC=CC(=C1)N23
S208 N#CC1=CC2=CC=CC3=CC=NC(=N1)N23
S209 N#CC1=CC=C2C=CN=C3N=CC=C1N23
S210 N#CC1=CN=C2N=CC=C3C=CC=C1N23
S211 CN(C)C1=CC2=CC=NC3=NC=CC(=C1)N23
S212 CN(C)C1=CC2=CC=CC3=CC=NC(=N1)N23
S213 CN(C)C1=CC=C2C=CN=C3N=CC=C1N23
S214 CN(C)C1=CN=C2N=CC=C3C=CC=C1N23
S215 CC(=O)C1=CC2=CC=NC3=NC=CC(=C1)N23
S216 CC(=O)C1=CC2=CC=CC3=CC=NC(=N1)N23
S217 CC(=O)C1=CC=C2C=CN=C3N=CC=C1N23
S218 CC(=O)C1=CN=C2N=CC=C3C=CC=C1N23
S219 CS(=O)C1=CC2=CC=NC3=NC=CC(=C1)N23
S220 CS(=O)C1=CC2=CC=CC3=CC=NC(=N1)N23
S221 CS(=O)C1=CC=C2C=CN=C3N=CC=C1N23
S222 CS(=O)C1=CN=C2N=CC=C3C=CC=C1N23
S223 [O-][N+](=O)C1=CC2=CC=NC3=NC=CC(=C1)N23
S224 [O-][N+](=O)C1=CC2=CC=CC3=CC=NC(=N1)N23
S225 [O-][N+](=O)C1=CC=C2C=CN=C3N=CC=C1N23
S226 [O-][N+](=O)C1=CN=C2N=CC=C3C=CC=C1N23
S227 FC(F)(F)C1=CC2=CC=NC3=NC=CC(=C1)N23
S228 FC(F)(F)C1=CC2=CC=CC3=CC=NC(=N1)N23
S229 FC(F)(F)C1=CC=C2C=CN=C3N=CC=C1N23
S230 FC(F)(F)C1=CN=C2N=CC=C3C=CC=C1N23
S231 CC1=CC2=CC=NC3=NC=NC(=C1)N23
S232 CC1=NC2=NC=NC3=CC=CC(=C1)N23
S233 CC1=NC2=CC=CC3=CC=NC(=N1)N23
S234 CC1=CC=C2N=CN=C3N=CC=C1N23
S235 CC1=CC=C2C=CN=C3N=CN=C1N23
S236 CC1=CN=C2N=CN=C3C=CC=C1N23
S237 NC1=CC2=CC=NC3=NC=NC(=C1)N23
S238 NC1=NC2=NC=NC3=CC=CC(=C1)N23
S239 NC1=NC2=CC=CC3=CC=NC(=N1)N23
S240 NC1=CC=C2N=CN=C3N=CC=C1N23
S241 NC1=CC=C2C=CN=C3N=CN=C1N23
S242 NC1=CN=C2N=CN=C3C=CC=C1N23
S243 OC1=CC2=CC=NC3=NC=NC(=C1)N23
S244 OC1=NC2=NC=NC3=CC=CC(=C1)N23
S245 OC1=NC2=CC=CC3=CC=NC(=N1)N23
S246 OC1=CC=C2N=CN=C3N=CC=C1N23
S247 OC1=CC=C2C=CN=C3N=CN=C1N23
S248 OC1=CN=C2N=CN=C3C=CC=C1N23
S249 FC1=CC2=CC=NC3=NC=NC(=C1)N23
S250 FC1=NC2=NC=NC3=CC=CC(=C1)N23
S251 FC1=NC2=CC=CC3=CC=NC(=N1)N23
S252 FC1=CC=C2N=CN=C3N=CC=C1N23
S253 FC1=CN=C2N=CN=C3C=CC=C1N23
S254 FC1=CC=C2C=CN=C3N=CN=C1N23
S255 SC1=CC2=CC=NC3=NC=NC(=C1)N23
S256 SC1=NC2=NC=NC3=CC=CC(=C1)N23
S257 SC1=NC2=CC=CC3=CC=NC(=N1)N23
S258 SC1=CC=C2N=CN=C3N=CC=C1N23
S259 SC1=CC=C2C=CN=C3N=CN=C1N23
S260 SC1=CN=C2N=CN=C3C=CC=C1N23
S261 ClC1=CC2=CC=NC3=NC=NC(=C1)N23
S262 ClC1=NC2=NC=NC3=CC=CC(=C1)N23
S263 ClC1=CC=C2N=CN=C3N=CC=C1N23
S264 ClC1=CC=C2C=CN=C3N=CN=C1N23
S265 ClC1=CN=C2N=CN=C3C=CC=C1N23
S266 ClC1=NC2=CC=CC3=CC=NC(=N1)N23
S267 BrC1=CC2=CC=NC3=NC=NC(=C1)N23
S268 BrC1=NC2=NC=NC3=CC=CC(=C1)N23
S269 BrC1=NC2=CC=CC3=CC=NC(=N1)N23
S270 BrC1=CC=C2N=CN=C3N=CC=C1N23
S271 BrC1=CC=C2C=CN=C3N=CN=C1N23
S272 BrC1=CN=C2N=CN=C3C=CC=C1N23
S273 CNC1=CC2=CC=NC3=NC=NC(=C1)N23
S274 CNC1=NC2=NC=NC3=CC=CC(=C1)N23
S275 CNC1=NC2=CC=CC3=CC=NC(=N1)N23
S276 CNC1=CC=C2N=CN=C3N=CC=C1N23
S277 CNC1=CC=C2C=CN=C3N=CN=C1N23
S278 CNC1=CN=C2N=CN=C3C=CC=C1N23
S279 C=CC1=CC2=CC=NC3=NC=NC(=C1)N23
S280 C=CC1=NC2=NC=NC3=CC=CC(=C1)N23
S281 C=CC1=NC2=CC=CC3=CC=NC(=N1)N23
S282 C=CC1=CC=C2N=CN=C3N=CC=C1N23
S283 C=CC1=CC=C2C=CN=C3N=CN=C1N23
S284 C=CC1=CN=C2N=CN=C3C=CC=C1N23
S285 O=CC1=CC2=CC=NC3=NC=NC(=C1)N23
S286 O=CC1=NC2=NC=NC3=CC=CC(=C1)N23
S287 O=CC1=NC2=CC=CC3=CC=NC(=N1)N23
S288 O=CC1=CC=C2N=CN=C3N=CC=C1N23
S289 O=CC1=CN=C2N=CN=C3C=CC=C1N23
S290 O=CC1=CC=C2C=CN=C3N=CN=C1N23
S291 C#CC1=CC2=CC=NC3=NC=NC(=C1)N23
S292 C#CC1=NC2=NC=NC3=CC=CC(=C1)N23
S293 C#CC1=NC2=CC=CC3=CC=NC(=N1)N23
S294 C#CC1=CC=C2N=CN=C3N=CC=C1N23
S295 C#CC1=CC=C2C=CN=C3N=CN=C1N23
S296 C#CC1=CN=C2N=CN=C3C=CC=C1N23
S297 [C-]#[N+]C1=CC2=CC=NC3=NC=NC(=C1)N23
S298 [C-]#[N+]C1=NC2=NC=NC3=CC=CC(=C1)N23
S299 [C-]#[N+]C1=NC2=CC=CC3=CC=NC(=N1)N23
S300 [C-]#[N+]C1=CC=C2N=CN=C3N=CC=C1N23
S301 [C-]#[N+]C1=CC=C2C=CN=C3N=CN=C1N23
S302 [C-]#[N+]C1=CN=C2N=CN=C3C=CC=C1N23
S303 N#CC1=CC2=CC=NC3=NC=NC(=C1)N23
S304 N#CC1=NC2=NC=NC3=CC=CC(=C1)N23
S305 N#CC1=NC2=CC=CC3=CC=NC(=N1)N23
S306 N#CC1=CC=C2N=CN=C3N=CC=C1N23
S307 N#CC1=CC=C2C=CN=C3N=CN=C1N23
S308 N#CC1=CN=C2N=CN=C3C=CC=C1N23
S309 CN(C)C1=CC2=CC=NC3=NC=NC(=C1)N23
S310 CN(C)C1=NC2=NC=NC3=CC=CC(=C1)N23
S311 CN(C)C1=NC2=CC=CC3=CC=NC(=N1)N23
S312 CN(C)C1=CC=C2N=CN=C3N=CC=C1N23
S313 CN(C)C1=CC=C2C=CN=C3N=CN=C1N23
S314 CN(C)C1=CN=C2N=CN=C3C=CC=C1N23
S315 CC(=O)C1=CC2=CC=NC3=NC=NC(=C1)N23
S316 CC(=O)C1=NC2=NC=NC3=CC=CC(=C1)N23
S317 CC(=O)C1=NC2=CC=CC3=CC=NC(=N1)N23
S318 CC(=O)C1=CC=C2N=CN=C3N=CC=C1N23
S319 CC(=O)C1=CN=C2N=CN=C3C=CC=C1N23
S320 CC(=O)C1=CC=C2C=CN=C3N=CN=C1N23
S321 CS(=O)C1=CC2=CC=NC3=NC=NC(=C1)N23
S322 CS(=O)C1=NC2=NC=NC3=CC=CC(=C1)N23
S323 CS(=O)C1=NC2=CC=CC3=CC=NC(=N1)N23
S324 CS(=O)C1=CC=C2N=CN=C3N=CC=C1N23
S325 CS(=O)C1=CN=C2N=CN=C3C=CC=C1N23
S326 CS(=O)C1=CC=C2C=CN=C3N=CN=C1N23
S327 [O-][N+](=O)C1=CC2=CC=NC3=NC=NC(=C1)N23
S328 [O-][N+](=O)C1=NC2=NC=NC3=CC=CC(=C1)N23
S329 [O-][N+](=O)C1=NC2=CC=CC3=CC=NC(=N1)N23
S330 [O-][N+](=O)C1=CC=C2N=CN=C3N=CC=C1N23
S331 [O-][N+](=O)C1=CN=C2N=CN=C3C=CC=C1N23
S332 [O-][N+](=O)C1=CC=C2C=CN=C3N=CN=C1N23
S333 FC(F)(F)C1=CC2=CC=NC3=NC=NC(=C1)N23
S334 FC(F)(F)C1=NC2=NC=NC3=CC=CC(=C1)N23
S335 FC(F)(F)C1=NC2=CC=CC3=CC=NC(=N1)N23
S336 FC(F)(F)C1=CC=C2N=CN=C3N=CC=C1N23
S337 FC(F)(F)C1=CC=C2C=CN=C3N=CN=C1N23
S338 FC(F)(F)C1=CN=C2N=CN=C3C=CC=C1N23
S339 CC1=CC2=NC=NC3=NC=NC(=C1)N23
S340 CC1=NC2=CC=CC3=NC=NC(=N1)N23
S341 CC1=CC=C2N=CN=C3N=CN=C1N23
S342 NC1=CC2=NC=NC3=NC=NC(=C1)N23
S343 NC1=NC2=CC=CC3=NC=NC(=N1)N23
S344 NC1=CC=C2N=CN=C3N=CN=C1N23
S345 OC1=CC2=NC=NC3=NC=NC(=C1)N23
S346 OC1=NC2=CC=CC3=NC=NC(=N1)N23
S347 OC1=CC=C2N=CN=C3N=CN=C1N23
S348 FC1=CC2=NC=NC3=NC=NC(=C1)N23
S349 FC1=NC2=CC=CC3=NC=NC(=N1)N23
S350 FC1=CC=C2N=CN=C3N=CN=C1N23
S351 SC1=CC2=NC=NC3=NC=NC(=C1)N23
